rank,title,year,release_date,genre,prod_cost_range_million,worldwide_gross_range_million,domestic_gross_range_million,production_cost,domestic_gross,worldwide_gross,opening_weekend,theaters,runtime
162,wreck-it ralph,2012,2012-11-01,Adventure,161-166,493-503,185-190,165000000,189412677,496511521,49038712.0,3752.0,101.0
163,interstellar,2014,2014-11-05,Adventure,161-166,643-653,185-190,165000000,188017894,649133873,47510360.0,3561.0,165.0
164,dune,2021,2021-09-15,Action,161-166,393-403,105-110,165000000,108327830,397720527,41011174.0,4125.0,156.0
165,independence day: resurgence,2016,2016-06-22,Action,161-166,383-393,100-105,165000000,103144286,384169424,41039944.0,4091.0,119.0
166,cowboys and aliens,2011,2011-07-29,Action,161-166,173-183,95-100,163000000,100368560,176038324,36431290.0,3754.0,118.0
167,beauty and the beast,2017,2017-03-16,Musical,156-161,1263-1273,500-505,160000000,504014165,1270042058,174750616.0,4210.0,123.0
168,spider-man: far from home,2019,2019-06-27,Action,156-161,1123-1133,385-390,160000000,390532085,1132532832,92579212.0,4634.0,129.0
169,aquaman,2018,2018-12-06,Action,156-161,1133-1143,330-335,160000000,335061807,1143758700,67873522.0,4184.0,143.0
170,shrek the third,2007,2007-05-17,Adventure,156-161,803-813,320-325,160000000,322719944,807330936,121629270.0,4172.0,92.0
171,inception,2010,2010-07-16,Thriller/Suspense,156-161,723-733,290-295,160000000,292576195,728582465,62785337.0,3792.0,147.0
172,the hunger games: mockingjay - part 2,2015,2015-11-18,Thriller/Suspense,156-161,643-653,280-285,160000000,281723902,648986787,102665981.0,4175.0,136.0
173,fast and furious 6,2013,2013-05-17,Action,156-161,783-793,235-240,160000000,238679850,789300444,97375245.0,3771.0,130.0
174,godzilla,2014,2014-05-14,Action,156-161,523-533,195-200,160000000,200676069,529076069,93188384.0,3952.0,123.0
175,x-men: first class,2011,2011-06-03,Action,156-161,353-363,145-150,160000000,146408305,355408305,55101604.0,3692.0,132.0
176,the curious case of benjamin button,2008,2008-12-25,Drama,156-161,323-333,125-130,160000000,127509326,329631958,26853816.0,2988.0,167.0
177,the sorcerer's apprentice,2010,2010-07-14,Adventure,156-161,213-223,60-65,160000000,63150991,217986320,17619622.0,3504.0,108.0
179,warcraft,2016,2016-05-25,Action,156-161,433-443,45-50,160000000,47365290,438899824,24166110.0,3406.0,123.0
181,deepwater horizon,2016,2016-09-29,Thriller/Suspense,151-156,113-123,60-65,156000000,61433527,122359309,20223544.0,3403.0,107.0
183,godzilla vs. kong,2021,2021-03-25,Action,151-156,463-473,95-100,155000000,100916094,468064628,32200000.0,3084.0,113.0
184,terminator: genisys,2015,2015-06-24,Action,151-156,423-433,85-90,155000000,89760956,432150894,27018486.0,3783.0,126.0
185,pacific rim: uprising,2018,2018-03-16,Action,151-156,283-293,55-60,155000000,59874525,290930148,28116535.0,3708.0,111.0
186,alexander,2004,2004-11-24,Action,151-156,163-173,30-35,155000000,34297191,167297191,13687087.0,2445.0,175.0
187,war for the planet of the apes,2017,2017-07-14,Action,151-156,483-493,145-150,152000000,146880162,489592267,56262929.0,4100.0,142.0
188,pearl harbor,2001,2001-05-25,Action,146-151,443-453,195-200,151500000,198539855,449239853,59078912.0,3255.0,182.0
189,transformers,2007,2007-07-02,Action,146-151,703-713,315-320,151000000,319246193,708272592,70502384.0,4050.0,142.0
190,frozen ii,2019,2019-11-20,Adventure,146-151,1443-1453,475-480,150000000,477373578,1445182280,130263358.0,4440.0,103.0
191,wonder woman,2017,2017-05-29,Action,146-151,813-823,410-415,150000000,412563408,818058221,103251471.0,4165.0,141.0
192,frozen,2013,2013-11-22,Musical,146-151,1253-1263,395-400,150000000,400953009,1261788407,243390.0,3742.0,102.0
193,zootopia,2016,2016-02-10,Adventure,146-151,1003-1013,340-345,150000000,341268248,1004629935,75063401.0,3959.0,108.0
194,harry potter and the order of the phoenix,2007,2007-07-11,Adventure,146-151,933-943,290-295,150000000,292137260,939619849,77108414.0,4285.0,138.0
195,harry potter and the goblet of fire,2005,2005-11-18,Adventure,146-151,883-893,285-290,150000000,290201752,886746240,102685961.0,3858.0,150.0
196,the matrix reloaded,2003,2003-05-15,Action,146-151,733-743,280-285,150000000,281553689,738576929,91774413.0,3603.0,138.0
197,i am legend,2007,2007-12-14,Horror,146-151,583-593,255-260,150000000,256393010,585532684,77211321.0,3648.0,100.0
198,moana,2016,2016-01-27,Musical,146-151,623-633,245-250,150000000,248757044,631617146,56631401.0,3875.0,113.0
199,hancock,2008,2008-07-01,Action,146-151,623-633,225-230,150000000,227946274,624234272,62603879.0,3965.0,92.0
200,shang-chi and the legend of the ten rings,2021,2021-09-01,Action,146-151,423-433,220-225,150000000,224543292,432243292,75388688.0,4300.0,132.0
201,charlie and the chocolate factory,2005,2005-07-15,Adventure,146-151,473-483,205-210,150000000,206459076,475825484,56178450.0,3790.0,115.0
202,ratatouille,2007,2007-06-29,Adventure,146-151,623-633,205-210,150000000,206445654,626549695,47027395.0,3940.0,110.0
203,thor: the dark world,2013,2013-10-30,Action,146-151,643-653,205-210,150000000,206362140,644602516,85737841.0,3841.0,111.0
204,batman begins,2005,2005-06-15,Action,146-151,353-363,200-205,150000000,205343774,358858124,48745440.0,3858.0,140.0
205,mission: impossible—rogue nation,2015,2015-07-29,Action,146-151,683-693,190-195,150000000,195042377,688858992,55520089.0,3988.0,131.0
206,dunkirk,2017,2017-07-18,Action,146-151,513-523,185-190,150000000,190068280,518058826,50513488.0,4014.0,107.0
207,thor,2011,2011-04-29,Action,146-151,443-453,180-185,150000000,181030624,449326618,65723338.0,3963.0,113.0
208,madagascar: escape 2 africa,2008,2008-11-07,Adventure,146-151,593-603,175-180,150000000,180174880,599680774,63106589.0,4065.0,89.0
209,x-men origins: wolverine,2009,2009-05-01,Action,146-151,373-383,175-180,150000000,179883157,374825760,85058003.0,4102.0,107.0
210,night at the museum: battle of the smithsonian,2009,2009-05-22,Adventure,146-151,393-403,175-180,150000000,177243721,402231063,54173286.0,4101.0,105.0
211,kung fu panda 2,2011,2011-05-26,Adventure,146-151,663-673,160-165,150000000,165249063,664837547,47656302.0,3952.0,90.0
212,mad max: fury road,2015,2015-05-14,Action,146-151,363-373,150-155,150000000,153636354,367457874,45428128.0,3722.0,120.0
213,pokémon: detective pikachu,2019,2019-05-03,Adventure,146-151,423-433,140-145,150000000,144105346,431344168,54365242.0,4248.0,104.0
214,the matrix revolutions,2003,2003-11-05,Action,146-151,423-433,135-140,150000000,139270910,427300260,48475154.0,3502.0,129.0
215,ready player one,2018,2018-03-20,Adventure,146-151,573-583,135-140,150000000,137690172,579055653,41769050.0,4234.0,140.0
216,chicken little,2005,2005-11-04,Adventure,146-151,303-313,130-135,150000000,135386665,310043823,40049778.0,3658.0,82.0
217,mission: impossible iii,2006,2006-05-05,Action,146-151,393-403,130-135,150000000,133501348,399387745,47743273.0,4059.0,126.0
218,angels & demons,2009,2009-05-15,Thriller/Suspense,146-151,483-493,130-135,150000000,133375846,490875846,46204168.0,3527.0,138.0
219,troy,2004,2004-05-13,Action,146-151,473-483,130-135,150000000,133298577,483152040,46865412.0,3411.0,162.0
220,the last airbender,2010,2010-07-01,Adventure,146-151,313-323,130-135,150000000,131772187,319713881,40325019.0,3203.0,103.0
221,bee movie,2007,2007-11-02,Adventure,146-151,283-293,125-130,150000000,126631277,287594577,38021044.0,3984.0,90.0
222,g-force,2009,2009-07-24,Adventure,146-151,283-293,115-120,150000000,119436770,292817841,31706934.0,3697.0,87.0
223,bolt,2008,2008-11-21,Adventure,146-151,323-333,110-115,150000000,114053579,328015029,26223128.0,3654.0,96.0
224,encanto,2021,2021-11-24,Adventure,146-151,223-233,95-100,150000000,96093622,230873149,27206494.0,3980.0,109.0
225,wrath of the titans,2012,2012-03-28,Adventure,146-151,303-313,80-85,150000000,83670083,305270083,33457188.0,3545.0,99.0
226,beowulf,2007,2007-11-16,Adventure,146-151,193-203,80-85,150000000,82280579,195080579,27515871.0,3249.0,115.0
227,dark shadows,2012,2012-05-09,Black Comedy,146-151,233-243,75-80,150000000,79727149,238202668,29685274.0,3755.0,112.0
228,white house down,2013,2013-06-28,Thriller/Suspense,146-151,203-213,70-75,150000000,73103784,205440387,24852258.0,3222.0,131.0
229,space jam: a new legacy,2021,2021-07-14,Comedy,146-151,143-153,65-70,150000000,70592228,144003749,31053362.0,4002.0,115.0
230,the wolfman,2010,2010-02-12,Horror,146-151,133-143,60-65,150000000,62189884,142634358,31479235.0,3223.0,102.0
231,the great wall,2016,2016-12-15,Action,146-151,333-343,40-45,150000000,45157105,334486852,18469620.0,3328.0,104.0
232,pan,2015,2015-09-25,Adventure,146-151,143-153,30-35,150000000,35088320,151525973,15315435.0,3515.0,111.0
233,mars needs moms,2011,2011-03-11,Adventure,146-151,33-43,20-25,150000000,21392758,39549758,6914488.0,3117.0,88.0
234,moonfall,2022,2022-02-03,Action,146-151,53-63,15-20,150000000,19060660,59049032,9868997.0,3446.0,124.0
237,flushed away,2006,2006-11-03,Adventure,146-151,173-183,60-65,149000000,64665672,179357126,18814323.0,3707.0,85.0
238,madagascar 3: europe's most wanted,2012,2012-06-08,Adventure,141-146,743-753,215-220,145000000,216391482,746921271,60316738.0,4263.0,85.0
239,mission: impossible—ghost protocol,2011,2011-12-14,Action,141-146,693-703,205-210,145000000,209397903,694713230,12785204.0,3555.0,132.0
240,how to train your dragon 2,2014,2014-06-05,Adventure,141-146,613-623,175-180,145000000,177002924,614586270,49451322.0,4268.0,102.0
241,tarzan,1999,1999-06-16,Adventure,141-146,443-453,170-175,145000000,171091819,448191819,34221968.0,3131.0,88.0
242,mr. peabody & sherman,2014,2014-02-20,Adventure,141-146,263-273,110-115,145000000,111506430,269806430,32207057.0,3951.0,91.0
243,rise of the guardians,2012,2012-11-20,Adventure,141-146,303-313,100-105,145000000,103412758,306900902,23773465.0,3672.0,97.0
244,sahara,2005,2005-04-08,Adventure,141-146,113-123,65-70,145000000,68671925,121645390,18068372.0,3200.0,124.0
245,ghostbusters,2016,2016-07-13,Comedy,141-146,223-233,125-130,144000000,128350574,229008658,46018755.0,3963.0,117.0
246,die another day,2002,2002-11-22,Action,141-146,423-433,155-160,142000000,160942139,431942139,47072040.0,3377.0,133.0
248,star trek,2009,2009-05-08,Adventure,136-141,383-393,255-260,140000000,257730019,386839614,79204289.0,4053.0,125.0
249,armageddon,1998,1998-07-01,Adventure,136-141,553-563,200-205,140000000,201578182,554600000,36089972.0,3184.0,150.0
250,men in black 2,2002,2002-07-03,Action,136-141,433-443,185-190,140000000,190418803,441767803,52148751.0,3641.0,86.0
251,captain america: the first avenger,2011,2011-07-22,Action,136-141,363-373,175-180,140000000,176654505,370569776,65058524.0,3715.0,124.0
252,kung fu panda 3,2016,2016-01-23,Adventure,136-141,513-523,140-145,140000000,143528619,521170825,41282042.0,3987.0,94.0
253,lethal weapon 4,1998,1998-07-10,Action,136-141,283-293,125-130,140000000,130444603,285400000,34048124.0,3117.0,127.0
254,g.i. joe: retaliation,2013,2013-03-27,Action,136-141,373-383,120-125,140000000,122523060,375740705,40501814.0,3734.0,110.0
255,the last samurai,2003,2003-12-05,Action,136-141,453-463,110-115,140000000,111110575,456810575,24271354.0,2938.0,154.0
256,fun with dick and jane,2005,2005-12-21,Comedy,136-141,193-203,105-110,140000000,110550000,203018919,14383515.0,3239.0,90.0
257,exodus: gods and kings,2014,2014-12-05,Drama,136-141,263-273,60-65,140000000,65014513,268314513,24115934.0,3503.0,150.0
258,the bfg,2016,2016-06-30,Adventure,136-141,193-203,50-55,140000000,55483770,199646680,18775350.0,3392.0,115.0
259,gemini man,2019,2019-10-03,Action,136-141,163-173,45-50,140000000,48546770,166623705,20552372.0,3642.0,116.0
260,gods of egypt,2016,2016-02-24,Adventure,136-141,133-143,30-35,140000000,31153464,138836756,14123903.0,3117.0,127.0
262,spider-man,2002,2002-05-03,Adventure,136-141,813-823,400-405,139000000,403706375,821706375,114844116.0,3876.0,121.0
263,watchmen,2009,2009-03-06,Action,136-141,183-193,105-110,138000000,107509799,186976250,55214334.0,3611.0,161.0
264,stealth,2005,2005-07-29,Action,136-141,73-83,30-35,138000000,32116746,76416746,13251545.0,3495.0,121.0
265,the incredible hulk,2008,2008-06-13,Adventure,136-141,263-273,130-135,137500000,134806913,265573859,55414050.0,3508.0,112.0
266,hulk,2003,2003-06-20,Action,136-141,243-253,130-135,137000000,132177234,245031679,62128420.0,3674.0,138.0
267,final fantasy: the spirits within,2001,2001-07-11,Adventure,136-141,83-93,30-35,137000000,32131830,85131830,11408853.0,2649.0,106.0
268,"the twilight saga: breaking dawn, part 2",2012,2012-11-14,Drama,131-136,823-833,290-295,136200000,292324737,829724737,141067634.0,4070.0,115.0
269,the croods,2013,2013-03-15,Adventure,131-136,563-573,185-190,135000000,187168425,573068425,43639736.0,4065.0,98.0
270,the revenant,2015,2015-12-25,Adventure,131-136,523-533,180-185,135000000,183637894,532938302,474560.0,3711.0,156.0
271,the world is not enough,1999,1999-11-19,Action,131-136,353-363,125-130,135000000,126930660,361730660,35519007.0,3165.0,128.0
272,rango,2011,2011-03-04,Adventure,131-136,243-253,120-125,135000000,123477607,245724600,38079323.0,3923.0,107.0
273,master and commander: the far side of the world,2003,2003-11-14,Adventure,131-136,203-213,90-95,135000000,93926386,212912137,25105990.0,3101.0,139.0
274,turbo,2013,2013-07-17,Adventure,131-136,283-293,80-85,135000000,83028130,286896578,21312625.0,3809.0,96.0
275,teenage mutant ninja turtles: out of the shadows,2016,2016-06-02,Adventure,131-136,243-253,80-85,135000000,82051601,245328374,35316382.0,4071.0,112.0
276,happy feet two,2011,2011-11-18,Adventure,131-136,153-163,60-65,135000000,64006466,157956466,21237068.0,3611.0,99.0
277,miami vice,2006,2006-07-28,Action,131-136,163-173,60-65,135000000,63478838,164920076,25723815.0,3026.0,132.0
278,the nutcracker and the four realms,2018,2018-10-31,Adventure,131-136,163-173,50-55,132900000,54858851,170024300,20352491.0,3766.0,99.0
279,war of the worlds,2005,2005-06-24,Action,131-136,603-613,230-235,132000000,234280354,606836535,64878725.0,3910.0,116.0
280,penguins of madagascar,2014,2014-11-26,Adventure,131-136,363-373,80-85,132000000,83350911,366942531,25447444.0,3775.0,92.0
281,the hunger games: catching fire,2013,2013-11-15,Adventure,126-131,863-873,420-425,130000000,424668047,864868047,158074286.0,4163.0,146.0
282,harry potter and the prisoner of azkaban,2004,2004-05-31,Adventure,126-131,783-793,245-250,130000000,249757726,789592708,93687367.0,3855.0,141.0
283,the bourne ultimatum,2007,2007-08-03,Thriller/Suspense,126-131,443-453,225-230,130000000,227471070,444043396,69283690.0,3701.0,113.0
284,ant-man and the wasp,2018,2018-07-03,Action,126-131,613-623,215-220,130000000,216648740,623144660,75812205.0,4206.0,118.0
285,kung fu panda,2008,2008-06-06,Adventure,126-131,623-633,210-215,130000000,215434591,631910531,60239130.0,4136.0,91.0
286,ant-man,2015,2015-07-14,Action,126-131,513-523,175-180,130000000,180202163,518858449,57225526.0,3868.0,117.0
287,home,2015,2015-03-19,Adventure,126-131,383-393,175-180,130000000,177397510,385997896,52107731.0,3801.0,94.0
288,mary poppins returns,2018,2018-12-19,Musical,126-131,343-353,170-175,130000000,171958438,348901032,23523121.0,4090.0,130.0
289,puss in boots,2011,2011-10-28,Adventure,126-131,553-563,145-150,130000000,149260504,554987477,34077439.0,3963.0,90.0
290,megamind,2010,2010-11-05,Adventure,126-131,313-323,145-150,130000000,148415853,321887208,46016833.0,3949.0,95.0
291,bad boys ii,2003,2003-07-18,Action,126-131,263-273,135-140,130000000,138540870,273271982,46522560.0,3202.0,140.0
292,rio 2,2014,2014-03-20,Adventure,126-131,483-493,130-135,130000000,131538435,492846291,39327869.0,3975.0,101.0
293,salt,2010,2010-07-23,Thriller/Suspense,126-131,283-293,115-120,130000000,118311368,290650494,36011243.0,3612.0,100.0
294,noah,2014,2014-03-27,Drama,126-131,343-353,100-105,130000000,101200044,352831065,43720472.0,3571.0,137.0
295,the adventures of tintin,2011,2011-10-28,Adventure,126-131,363-373,75-80,130000000,77591831,373993951,9720993.0,3087.0,104.0
296,after earth,2013,2013-05-31,Action,126-131,243-253,55-60,130000000,60522097,251499665,27520040.0,3401.0,99.0
297,australia,2008,2008-11-26,Drama,126-131,213-223,45-50,130000000,49554002,215080810,14800723.0,2721.0,165.0
298,r.i.p.d.,2013,2013-07-19,Action,126-131,73-83,30-35,130000000,33618855,79076678,12691415.0,2852.0,98.0
299,how to train your dragon: the hidden world,2019,2019-01-03,Adventure,126-131,513-523,155-160,129000000,160799505,521214533,55022245.0,4286.0,104.0
300,"the twilight saga: breaking dawn, part 1",2011,2011-11-18,Drama,126-131,683-693,280-285,127500000,281287133,688288353,138122261.0,4066.0,117.0
301,dinosaur,2000,2000-05-19,Adventure,126-131,353-363,135-140,127500000,137748063,356148063,38854851.0,3319.0,82.0
302,logan,2017,2017-02-23,Action,126-131,613-623,225-230,127000000,226277068,614202315,88411916.0,4071.0,135.0
303,night at the museum: secret of the tomb,2014,2014-12-18,Adventure,126-131,343-353,110-115,127000000,113746621,353756621,17100520.0,3914.0,97.0
304,harry potter and the deathly hallows: part ii,2011,2011-07-13,Adventure,121-126,1313-1323,380-385,125000000,381193157,1316355322,169189427.0,4375.0,131.0
305,the hunger games: mockingjay - part 1,2014,2014-11-19,Thriller/Suspense,121-126,763-773,335-340,125000000,337135885,766575131,121897634.0,4151.0,123.0
306,harry potter and the sorcerer’s stone,2001,2001-11-15,Adventure,121-126,963-973,315-320,125000000,317871467,965054122,90294621.0,3672.0,152.0
307,jumanji: the next level,2019,2019-12-04,Adventure,121-126,793-803,315-320,125000000,316831246,798332900,59251543.0,4227.0,123.0
308,harry potter and the deathly hallows: part i,2010,2010-11-17,Adventure,121-126,943-953,295-300,125000000,296131568,951767705,125017372.0,4125.0,146.0
309,the da vinci code,2006,2006-05-19,Thriller/Suspense,121-126,763-773,215-220,125000000,217536138,767820459,77073388.0,3757.0,152.0
310,x-men 2,2003,2003-04-30,Action,121-126,403-413,210-215,125000000,214949694,406348630,85558731.0,3749.0,135.0
311,fast five,2011,2011-04-21,Action,121-126,623-633,205-210,125000000,210031325,630163454,86198765.0,3793.0,130.0
312,teenage mutant ninja turtles,2014,2014-08-08,Adventure,121-126,483-493,190-195,125000000,191204754,485004754,65575105.0,3980.0,101.0
313,sherlock holmes: a game of shadows,2011,2011-12-16,Action,121-126,533-543,185-190,125000000,186848418,535663443,39637079.0,3703.0,129.0
314,the day after tomorrow,2004,2004-05-27,Adventure,121-126,553-563,185-190,125000000,186740799,555840117,68743584.0,3444.0,123.0
315,the boss baby,2017,2017-03-17,Adventure,121-126,523-533,170-175,125000000,175003033,527965936,50198902.0,3829.0,97.0
316,clash of the titans,2010,2010-04-01,Action,121-126,483-493,160-165,125000000,163214888,493214888,61235105.0,3802.0,106.0
317,trolls,2016,2016-10-12,Adventure,121-126,333-343,150-155,125000000,153707064,343242613,46581142.0,4066.0,93.0
318,godzilla,1998,1998-05-19,Action,121-126,373-383,135-140,125000000,136314294,376000000,93188384.0,3952.0,123.0
319,prometheus,2012,2012-05-30,Thriller/Suspense,121-126,393-403,125-130,125000000,126477084,402448265,51050101.0,3442.0,124.0
320,the bourne legacy,2012,2012-08-10,Thriller/Suspense,121-126,273-283,110-115,125000000,113203870,280355920,38142825.0,3753.0,135.0
321,batman & robin,1997,1997-06-20,Action,121-126,233-243,105-110,125000000,107325195,238317814,42872605.0,2942.0,125.0
322,skyscraper,2018,2018-07-05,Action,121-126,303-313,65-70,125000000,68420120,304868961,24905015.0,3822.0,103.0
323,the call of the wild,2020,2020-01-03,Adventure,121-126,103-113,60-65,125000000,62342368,107360936,24791624.0,3914.0,100.0
324,total recall,2012,2012-08-03,Action,121-126,203-213,55-60,125000000,58877969,211856088,25577758.0,3601.0,117.0
325,assassin’s creed,2016,2016-12-21,Action,121-126,233-243,50-55,125000000,54647948,240759682,10278225.0,2996.0,116.0
326,monster trucks,2016,2016-12-29,Adventure,121-126,53-63,30-35,125000000,33370166,61642798,10950705.0,3119.0,104.0
